,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Delhi,Delhi,GPE,-0.07514148,0.52790358,en,97.80000000,4011371-1,1273294,P,28.65195000,77.23149000,ASIA,India,SAS
India,India,GPE,0.12987761,0.59479962,en,61.50000000,4026722-2,1269750,A,22.00000000,79.00000000,ASIA,India,SAS
North India,North India,GPE,-0.19768883,0.71855743,en,35.80000000,,3580678,P,19.30000000,-81.11667000,CENTRAL-AMERICA,Cayman Islands,CAR
Delhi-NCR,Delhi-NCR,GPE,-0.11473952,0.55747789,en,28.90000000,,9972750,L,28.66047000,77.07733000,ASIA,India,SAS
Rajasthan,Rajasthan,GPE,-0.02751600,0.50239238,en,19.10000000,4076502-7,1258899,A,26.58333000,73.83333000,ASIA,India,SAS
Punjab,Punjab,GPE,-0.05457360,0.45456476,en,15.70000000,4047850-6,1167710,A,30.85000000,72.31667000,ASIA,Pakistan,WCA
Pakistan,Pakistan,GPE,0.00141185,0.58154762,en,15.40000000,4075812-6,1168579,A,30.00000000,70.00000000,ASIA,Pakistan,WCA
Haryana,Haryana,GPE,0.04996910,0.41480186,en,14.30000000,4239291-3,1270260,A,29.25000000,76.33333000,ASIA,India,SAS
Kashmir,Kashmir,LOC,-0.14203153,0.54151348,en,13.60000000,4256270-3,1269320,A,33.53290000,75.40781000,ASIA,India,TIB
Uttar Pradesh,Uttar Pradesh,GPE,0.02798742,0.76970650,en,10.60000000,4062226-5,1253626,A,27.25000000,80.75000000,ASIA,India,SAS
Jammu,Jammu,GPE,-0.18878788,0.65583333,en,10.00000000,4387357-1,1269321,P,32.73528000,74.86167000,ASIA,India,WCA
New Zealand,New Zealand,GPE,0.23161200,1.02684057,en,9.70000000,4041915-0,2186224,A,-42.00000000,174.00000000,OCEANIA,New Zealand,NZ
Mumbai,Mumbai,GPE,0.01286232,0.51920290,en,9.20000000,10013721-0,1275339,P,19.07283000,72.88261000,ASIA,India,SAS
US,US,GPE,-0.01258215,0.61065626,en,8.30000000,,0,,,,,,
Iran,Iran,GPE,-0.19239032,0.51226820,en,6.70000000,4027653-3,130758,A,32.00000000,53.00000000,ASIA,Iran,WCA
Madhya Pradesh,Madhya Pradesh,GPE,-0.17486264,0.65057998,en,6.50000000,4234626-5,1264542,A,23.50000000,78.50000000,ASIA,India,SAS
Gujarat,Gujarat,GPE,0.12320964,0.29720052,en,6.40000000,4058659-5,1255364,P,21.19594000,72.83023000,ASIA,India,SAS
Bihar,Bihar,GPE,-0.03281779,0.74712974,en,5.50000000,4090940-2,721472,P,47.53167000,21.62444000,EUROPE,Hungary,WCE
America,America,GPE,0.15812290,0.61951459,en,5.40000000,,0,,,,,,
Jharkhand,Jharkhand,GPE,-0.12958333,0.66819444,en,5.00000000,4364512-4,1444365,A,23.75000000,85.50000000,ASIA,India,SAS
Israel,Israel,GPE,-0.03316327,0.20790816,en,4.90000000,4027808-6,294640,A,31.50000000,34.75000000,EUROPE-AFRICA,Israel,MED
