,phrase,label,sentiment,subjectivity,language,count
Today,Today,DATE,,,en,73.59999999999994
today,today,DATE,,,en,46.29999999999996
one,one,CARDINAL,,,en,43.39999999999997
winter,winter,DATE,,,en,26.9
Tomorrow,Tomorrow,DATE,,,en,24.4
Indian,Indian,NORP,,,en,21.300000000000008
summer,summer,DATE,,,en,20.4
first,first,ORDINAL,,,en,19.60000000000001
Wednesday,Wednesday,DATE,,,en,18.800000000000008
2026,2026,DATE,,,en,18.200000000000003
Friday,Friday,DATE,,,en,17.300000000000004
morning,morning,TIME,,,en,16.500000000000007
April,April,DATE,,,en,16.3
Monday,Monday,DATE,,,en,16.100000000000005
13,13,CARDINAL,,,en,16.000000000000004
two,two,CARDINAL,,,en,15.600000000000003
the coming days,the coming days,DATE,,,en,15.400000000000004
Thursday,Thursday,DATE,,,en,14.700000000000005
the day,the day,DATE,,,en,14.600000000000007
Sunday,Sunday,DATE,,,en,14.200000000000006
February,February,DATE,,,en,13.600000000000003
Tuesday,Tuesday,DATE,,,en,12.600000000000005
20,20,CARDINAL,,,en,12.500000000000004
7,7,CARDINAL,,,en,12.400000000000002
2,2,CARDINAL,,,en,11.800000000000002
50,50,CARDINAL,,,en,11.400000000000002
15,15,CARDINAL,,,en,11.300000000000002
12,12,CARDINAL,,,en,11.000000000000004
the next few days,the next few days,DATE,,,en,10.500000000000004
17,17,CARDINAL,,,en,10.500000000000002
Saturday,Saturday,DATE,,,en,10.200000000000001
5,5,CARDINAL,,,en,9.9
16,16,CARDINAL,,,en,9.800000000000002
11,11,CARDINAL,,,en,9.000000000000002
8,8,CARDINAL,,,en,8.800000000000002
tomorrow,tomorrow,DATE,,,en,8.7
more than 20,more than 20,CARDINAL,,,en,8.3
40,40,CARDINAL,,,en,8.100000000000001
March,March,DATE,,,en,7.400000000000001
2025,2025,CARDINAL,,,en,7.1
the next 48 hours,the next 48 hours,TIME,,,en,7.099999999999999
the last few days,the last few days,DATE,,,en,7.0
9,9,CARDINAL,,,en,6.9
the summer season,the summer season,DATE,,,en,6.8999999999999995
night,night,TIME,,,en,6.899999999999999
10,10,CARDINAL,,,en,6.899999999999997
45 degrees,45 degrees,QUANTITY,,,en,6.8
May 28,May 28,DATE,,,en,6.700000000000001
January,January,DATE,,,en,6.6000000000000005
UP-Bihar,UP-Bihar,NORP,,,en,6.4
25,25,CARDINAL,,,en,6.300000000000001
the last 24 hours,the last 24 hours,TIME,,,en,6.299999999999999
May 18,May 18,DATE,,,en,6.199999999999999
60,60,CARDINAL,,,en,6.199999999999999
Dhurandhar,Dhurandhar,WORK_OF_ART,,,en,6.199999999999999
these days,these days,DATE,,,en,6.1
May 13,May 13,DATE,,,en,5.999999999999999
the next 24 hours,the next 24 hours,TIME,,,en,5.999999999999999
daily,daily,DATE,,,en,5.999999999999999
Dhurandhar 2,Dhurandhar 2,PRODUCT,,,en,5.8999999999999995
3,3,CARDINAL,,,en,5.8999999999999995
19,19,CARDINAL,,,en,5.7
the next three days,the next three days,DATE,,,en,5.7
Two,Two,CARDINAL,,,en,5.6
several days,several days,DATE,,,en,5.6
4.6,4.6,CARDINAL,,,en,5.5
May 7,May 7,DATE,,,en,5.5
the morning,the morning,TIME,,,en,5.499999999999999
June 11,June 11,DATE,,,en,5.499999999999999
May 12,May 12,DATE,,,en,5.4
the weekend,the weekend,DATE,,,en,5.4
Bollywood,Bollywood,NORP,0.5365961199294532,0.8072089947089948,en,5.3999999999999995
this week,this week,DATE,,,en,5.300000000000001
May 27,May 27,DATE,,,en,5.3
42,42,CARDINAL,,,en,5.200000000000001
24 hours,24 hours,TIME,,,en,5.199999999999999
second,second,ORDINAL,,,en,5.199999999999999
6,6,CARDINAL,,,en,5.1000000000000005
May 14,May 14,DATE,,,en,5.1
May 19,May 19,DATE,,,en,5.0
May 25,May 25,DATE,,,en,5.0
Hindu,Hindu,NORP,,,en,4.999999999999999
14,14,CARDINAL,,,en,4.9
Himalayan,Himalayan,NORP,,,en,4.8999999999999995
thousands,thousands,CARDINAL,,,en,4.7
this year,this year,DATE,,,en,4.6
22,22,CARDINAL,,,en,4.6
June 12,June 12,DATE,,,en,4.6
June 1,June 1,DATE,,,en,4.5
yesterday,yesterday,DATE,,,en,4.4
These days,These days,DATE,,,en,4.4
29,29,CARDINAL,,,en,4.4
May,May,DATE,,,en,4.3999999999999995
the month of March,the month of March,DATE,,,en,4.3
the next 5 days,the next 5 days,DATE,,,en,4.3
June 15,June 15,DATE,,,en,4.3
May 15,May 15,DATE,,,en,4.3
June 13,June 13,DATE,,,en,4.3
Summer,Summer,DATE,,,en,4.2
26,26,CARDINAL,,,en,4.1000000000000005
May 16,May 16,DATE,,,en,4.0
4,4,CARDINAL,,,en,4.0
May 5,May 5,DATE,,,en,4.0
seven,seven,CARDINAL,,,en,4.0
evening,evening,TIME,,,en,4.0
summer holidays,summer holidays,DATE,,,en,3.9000000000000004
40°,40°,PERCENT,,,en,3.9
zero,zero,CARDINAL,,,en,3.9
third,third,ORDINAL,,,en,3.8
45 degrees Celsius,45 degrees Celsius,QUANTITY,,,en,3.7
four,four,CARDINAL,,,en,3.7
5.9,5.9,CARDINAL,,,en,3.6999999999999997
May 30,May 30,DATE,,,en,3.6999999999999997
the month of February,the month of February,DATE,,,en,3.6999999999999997
June 4,June 4,DATE,,,en,3.6
April 21,April 21,DATE,,,en,3.6
11 years,11 years,DATE,,,en,3.6
more than 19,more than 19,CARDINAL,,,en,3.6
a few hours,a few hours,TIME,,,en,3.6
May 22,May 22,DATE,,,en,3.5999999999999996
a few days,a few days,DATE,,,en,3.5999999999999996
more than 17,more than 17,CARDINAL,,,en,3.5999999999999996
World Cup,World Cup,EVENT,,,en,3.599999999999999
the month of April,the month of April,DATE,,,en,3.5
45,45,CARDINAL,,,en,3.4000000000000004
millions,millions,CARDINAL,,,en,3.3999999999999995
last year,last year,DATE,,,en,3.3
the winter season,the winter season,DATE,,,en,3.3
the next two days,the next two days,DATE,,,en,3.0999999999999996
May 10,May 10,DATE,,,en,3.0999999999999996
month,month,DATE,,,en,3.0
Thousands,Thousands,CARDINAL,,,en,3.0
21,21,CARDINAL,,,en,3.0
June,June,DATE,,,en,3.0
three,three,CARDINAL,,,en,3.0
the T20 World Cup,the T20 World Cup,EVENT,,,en,2.9999999999999996
T20 World Cup,T20 World Cup,EVENT,,,en,2.9000000000000004
Christmas,Christmas,DATE,,,en,2.9
every year,every year,DATE,,,en,2.8000000000000003
1,1,CARDINAL,,,en,2.8
30 degrees,30 degrees,QUANTITY,,,en,2.8
the next few hours,the next few hours,TIME,,,en,2.8
June 2,June 2,DATE,,,en,2.8
One,One,CARDINAL,,,en,2.8
the hottest day,the hottest day,DATE,,,en,2.8
80 km/hour,80 km/hour,QUANTITY,,,en,2.8
February 18,February 18,DATE,,,en,2.8
May 6,May 6,DATE,,,en,2.8
June 9,June 9,DATE,,,en,2.8
June 3,June 3,DATE,,,en,2.8
the second weekend,the second weekend,DATE,,,en,2.8
149 years ago,149 years ago,DATE,,,en,2.8
5.2,5.2,CARDINAL,,,en,2.8
7.5,7.5,CARDINAL,,,en,2.8
June 7,June 7,DATE,,,en,2.8
7.4,7.4,CARDINAL,,,en,2.8
this day,this day,DATE,,,en,2.8
"Monday, April 20","Monday, April 20",DATE,,,en,2.8
the next 7 days,the next 7 days,DATE,,,en,2.7
the month of January,the month of January,DATE,,,en,2.7
the next 4 days,the next 4 days,DATE,,,en,2.7
months,months,DATE,,,en,2.7
0.6 degrees Celsius,0.6 degrees Celsius,QUANTITY,,,en,2.7
May 29,May 29,DATE,,,en,2.7
April 12,April 12,DATE,,,en,2.7
June 8,June 8,DATE,,,en,2.6
Dibrugarh Airport,Dibrugarh Airport,FAC,,,en,2.6
Punjab,Punjab,NORP,-0.008211678832116789,0.05930656934306569,en,2.6
May 31,May 31,DATE,,,en,2.6
next 3 days,next 3 days,DATE,,,en,2.6
June 21,June 21,DATE,,,en,2.6
June 6,June 6,DATE,,,en,2.6
44,44,CARDINAL,,,en,2.6
54,54,DATE,,,en,2.6
next week,next week,DATE,,,en,2.6
44 degrees Celsius,44 degrees Celsius,QUANTITY,,,en,2.6
23,23,CARDINAL,,,en,2.6
the first week of April,the first week of April,DATE,,,en,2.5999999999999996
T20 World Cup 2026,T20 World Cup 2026,EVENT,,,en,2.5
44 degrees,44 degrees,QUANTITY,,,en,2.5
the World Cup,the World Cup,EVENT,,,en,2.4999999999999996
more than 200,more than 200,CARDINAL,,,en,2.4999999999999996
96,96,CARDINAL,,,en,2.4
Dhurandhar 2',Dhurandhar 2',WORK_OF_ART,,,en,2.3
Indians,Indians,NORP,,,en,2.2
January 18,January 18,DATE,,,en,2.2
weekly,weekly,DATE,,,en,2.2
Republic Day,Republic Day,DATE,,,en,2.2
afternoon,afternoon,TIME,,,en,2.2
two days,two days,DATE,,,en,2.1999999999999997
27,27,CARDINAL,,,en,2.1999999999999997
January 16,January 16,DATE,,,en,2.1999999999999997
61,61,MONEY,,,en,2.1999999999999997
four years,four years,DATE,,,en,2.1999999999999997
A few days ago,A few days ago,DATE,,,en,2.1999999999999997
100,100,CARDINAL,,,en,2.1999999999999997
early March,early March,DATE,,,en,2.1999999999999997
rainy season,rainy season,DATE,,,en,2.1
year,year,DATE,,,en,2.1
the T20 World Cup 2026,the T20 World Cup 2026,EVENT,,,en,2.1
Winter,Winter,DATE,,,en,2.1
this morning,this morning,TIME,,,en,2.1
the last few years,the last few years,DATE,,,en,2.1
the next one week,the next one week,DATE,,,en,2.1
the first week,the first week,DATE,,,en,2.1
30,30,CARDINAL,,,en,2.0
Noida International Airport,Noida International Airport,FAC,,,en,1.9000000000000001
This year,This year,DATE,,,en,1.9000000000000001
the last three years,the last three years,DATE,,,en,1.9000000000000001
