,phrase,label,sentiment,subjectivity,language,count
IMD,IMD,ORG,-0.24838899196042047,0.5809369202226345,en,24.5
AQI,AQI,ORG,-0.17785877644368206,0.5314036592338478,en,10.600000000000001
The Meteorological Department,The Meteorological Department,ORG,0.1329113924050633,0.29535864978902954,en,7.8999999999999995
Delhi AQI,Delhi AQI,ORG,0.04403874813710879,0.38341405861897665,en,6.1000000000000005
the Meteorological Department,the Meteorological Department,ORG,-0.09848484848484847,0.37784090909090906,en,4.4
The Indian Meteorological Department,The Indian Meteorological Department,ORG,-0.05063424947145875,0.27114164904862575,en,4.300000000000001
Cold,Cold,ORG,-0.3172043010752688,0.6505376344086022,en,3.0999999999999996
India Meteorological Department,India Meteorological Department,ORG,0.06666666666666667,0.3333333333333333,en,3.0
Pahalgam,Pahalgam,ORG,-0.3125,0.17857142857142858,en,2.8
Bareilly,Bareilly,ORG,0.09868421052631579,0.0,en,1.9
Makar Sankranti,Makar Sankranti,ORG,0.0,0.0,en,1.9
Ayurveda,Ayurveda,ORG,0.2255639097744361,0.13157894736842105,en,1.9
Pandya,Pandya,ORG,0.2631578947368421,0.39473684210526316,en,1.9
Congress,Congress,ORG,0.0,0.0,en,1.8
North India Weather:,North India Weather:,ORG,-0.38804713804713803,0.40404040404040403,en,1.8
Mercury,Mercury,ORG,0.0,0.0,en,1.8
ODI,ODI,ORG,0.0,0.041666666666666664,en,1.6
Farmers,Farmers,ORG,-0.6701631701631702,0.5652680652680653,en,1.3
Rohit,Rohit,ORG,0.0,0.0,en,1.3
Bangladesh,Bangladesh,ORG,0.0,0.0,en,1.3
Khichdi,Khichdi,ORG,0.29783549783549784,0.0,en,1.0
Dhanush,Dhanush,ORG,0.22878787878787876,0.0,en,1.0
Elon Musk's,Elon Musk's,ORG,0.1875,0.0,en,1.0
PMO,PMO,ORG,-0.3,0.0,en,1.0
Sitamarhi,Sitamarhi,ORG,0.0,0.0,en,1.0
Indian Embassy,Indian Embassy,ORG,0.0,0.0,en,1.0
Trinamool Congress,Trinamool Congress,ORG,0.05000000000000002,0.0,en,1.0
Swami Vivekananda's,Swami Vivekananda's,ORG,0.05,0.0,en,1.0
Bathinda,Bathinda,ORG,0.0,0.0,en,1.0
the Indian Premier League (IPL,the Indian Premier League (IPL,ORG,0.0,0.0,en,1.0
Instagram Live,Instagram Live,ORG,0.0,0.0,en,1.0
Karthik-Ananya's,Karthik-Ananya's,ORG,-0.17777777777777773,0.0,en,1.0
PAK,PAK,ORG,-0.55,0.0,en,1.0
"Patna, Bettiah","Patna, Bettiah",ORG,0.0,0.0,en,1.0
Amethi,Amethi,ORG,0.1875,0.0,en,1.0
Brahmani,Brahmani,ORG,0.0625,0.0,en,1.0
Weather News,Weather News,ORG,0.5,0.0,en,1.0
Department,Department,ORG,0.0,0.0,en,1.0
SKY,SKY,ORG,0.0,0.0,en,1.0
Ishaan,Ishaan,ORG,0.0,0.0,en,1.0
Kiwis',Kiwis',ORG,0.0,0.0,en,1.0
Raipur T20,Raipur T20,ORG,0.0,0.0,en,1.0
IND,IND,ORG,0.056818181818181816,0.0,en,1.0
Exxon Mobil Corp,Exxon Mobil Corp,ORG,-0.2125,0.0,en,1.0
Indian Meteorological Department,Indian Meteorological Department,ORG,-0.6,0.0,en,1.0
Greater Noida,Greater Noida,ORG,0.1875,0.0,en,1.0
New Delhi Railway Station,New Delhi Railway Station,ORG,0.13636363636363635,0.0,en,1.0
Shubman Gill,Shubman Gill,ORG,0.0,0.0,en,1.0
TMMTMTTM Box Office Collection,TMMTMTTM Box Office Collection,ORG,-0.17777777777777773,0.0,en,1.0
Palam,Palam,ORG,-0.16666666666666666,0.0,en,1.0
Oxford Union',Oxford Union',ORG,0.25,0.0,en,1.0
Broccoli,Broccoli,ORG,0.2333333333333333,0.0,en,1.0
the National Center for Seismology,the National Center for Seismology,ORG,-0.1,0.0,en,1.0
Indigo,Indigo,ORG,-0.3,0.0,en,1.0
Oxford Union Debate,Oxford Union Debate,ORG,-0.2,0.0,en,1.0
Delhi Air Quality: Amidst,Delhi Air Quality: Amidst,ORG,-0.375,0.0,en,1.0
